problem_id,tag_id
1,38
1,20
2,7
2,24
2,17
2,33
3,39
3,18
4,42
4,18
5,26
5,3
5,45
5,46
5,17
6,41
6,4
6,37
6,53
7,56
7,46
8,39
8,41
8,30
8,32
8,12
9,48
9,56
9,42
9,49
9,35
10,3
10,24
11,40
11,46
12,46
12,48
12,12
13,6
13,27
13,54
14,4
14,29
15,21
15,7
16,55
16,13
16,42
16,40
17,22
17,54
18,46
18,11
18,38
18,47
19,34
19,1
19,43
19,26
20,54
20,43
20,4
20,5
20,13
21,47
21,18
21,6
22,29
22,3
22,18
23,45
23,33
23,27
24,41
24,48
24,54
25,20
25,18
26,8
26,22
26,30
26,37
27,37
27,30
28,8
28,6
29,47
29,6
29,12
30,38
30,41
30,2
30,50
31,51
31,1
31,14
32,30
32,6
32,47
32,16
33,54
33,44
33,42
33,56
34,48
34,49
34,9
35,4
35,25
35,46
35,19
36,18
36,9
36,37
37,27
37,15
37,54
37,13
38,13
38,12
38,19
38,17
39,17
39,6
39,32
39,23
39,38
40,23
40,50
40,42
40,34
41,54
41,41
41,44
41,11
41,3
42,10
42,35
42,37
42,14
42,45
43,23
43,42
43,52
43,44
43,51
44,14
44,22
44,45
44,33
45,6
45,33
45,50
45,14
46,14
46,30
46,17
46,3
47,34
47,43
48,31
48,9
48,30
49,24
49,37
49,25
49,43
50,21
50,45
51,41
51,23
52,11
52,27
53,22
53,42
53,7
53,12
53,23
54,11
54,30
54,35
54,12
55,29
55,52
56,38
56,37
56,45
56,28
56,47
57,31
57,54
57,16
57,17
57,47
58,39
58,22
58,31
58,44
59,20
59,3
59,15
59,49
59,33
60,27
60,28
61,37
61,26
61,38
61,2
62,33
62,11
62,20
63,37
63,49
63,9
64,43
64,22
64,51
65,6
65,20
66,52
66,23
66,30
67,11
67,30
67,1
67,43
67,10
68,12
68,20
68,6
69,16
69,55
69,14
70,6
70,47
70,16
70,10
70,44
71,1
71,31
71,11
71,23
72,31
72,36
73,45
73,14
73,31
73,43
73,25
74,46
74,16
74,49
74,7
74,25
75,21
75,49
75,9
76,50
76,21
76,19
76,53
76,44
77,39
77,26
77,35
77,5
77,23
78,43
78,48
78,38
78,2
78,15
79,50
79,16
79,24
80,22
80,33
80,53
80,1
81,5
81,42
81,15
81,9
81,32
82,3
82,14
82,20
83,6
83,22
83,25
83,42
83,12
84,10
84,19
84,20
84,25
84,44
85,3
85,17
85,27
85,12
85,11
86,44
86,34
86,54
86,7
86,30
87,23
87,44
88,42
88,56
89,52
89,1
89,11
89,21
89,9
90,44
90,30
90,1
90,32
90,42
91,28
91,50
91,4
91,20
91,17
92,39
92,52
93,33
93,24
93,50
93,31
93,46
94,55
94,35
94,24
94,8
95,28
95,35
95,49
96,56
96,44
96,6
96,10
96,1
97,46
97,38
97,17
97,13
98,28
98,4
98,30
98,19
98,3
99,56
99,32
100,24
100,4
100,39
100,44
100,17
101,22
101,44
101,19
101,50
101,53
102,35
102,18
103,19
103,23
103,27
104,29
104,21
105,41
105,3
105,39
105,8
106,47
106,3
106,35
106,48
107,16
107,12
107,6
107,35
107,7
108,47
108,10
108,41
109,28
109,18
109,23
109,30
109,45
110,53
110,54
110,47
111,3
111,5
111,21
111,24
111,10
112,25
112,33
113,22
113,41
114,28
114,26
114,2
114,12
115,47
115,42
115,48
115,6
116,8
116,51
116,13
116,37
116,17
117,40
117,33
117,35
117,55
118,45
118,52
118,4
119,37
119,31
119,14
119,49
120,18
120,48
120,45
120,50
120,12
121,33
121,43
121,3
121,39
122,12
122,44
122,19
122,18
122,1
123,14
123,2
123,51
123,27
123,43
124,18
124,30
124,39
125,7
125,15
125,2
125,46
126,15
126,5
126,40
126,19
127,38
127,27
127,41
127,39
127,22
128,31
128,36
128,1
128,22
128,21
129,53
129,29
129,10
129,30
130,14
130,35
130,45
130,11
130,44
131,17
131,26
131,3
131,43
131,55
132,41
132,32
133,6
133,14
133,48
133,34
134,20
134,19
134,49
134,21
135,44
135,30
135,2
135,10
135,40
136,40
136,23
136,37
137,27
137,49
137,2
137,19
137,36
138,16
138,25
138,35
138,9
138,39
139,7
139,26
140,14
140,8
140,37
141,12
141,56
141,11
141,50
142,36
142,27
142,23
142,49
142,14
143,39
143,18
143,21
143,50
143,24
144,43
144,44
145,33
145,35
145,26
145,15
146,32
146,49
146,30
146,19
146,53
147,11
147,56
147,12
147,26
147,19
148,35
148,54
149,49
149,30
149,42
149,12
150,25
150,38
